"","NC_Sed","NC_Ex","HF_Sed","HF_Ex"
"NC_Sed",NA,0.212197159565581,0.51530612244898,0.429004329004329
"NC_Ex",0.212197159565581,NA,0.387152777777778,0.288888888888889
"HF_Sed",0.51530612244898,0.387152777777778,NA,0.0698630136986301
"HF_Ex",0.429004329004329,0.288888888888889,0.0698630136986301,NA
