"","NC_Sed","NC_Ex","HF_Sed","HF_Ex"
"NC_Sed",NA,0.405293226720713,5.63140215951171e-06,2.2265883389876e-05
"NC_Ex",0.405293226720713,NA,0.000232805428463657,0.00487307558405484
"HF_Sed",5.63140215951171e-06,0.000232805428463657,NA,1
"HF_Ex",2.2265883389876e-05,0.00487307558405484,1,NA
